,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,total_donated_during_dv,gender,dateOfBirth,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Missing,province_Namur,province_Walloon Brabant,province_West Flanders,region_Flanders,region_Missing,region_Wallonia,language_FR,language_NL,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
5363,112364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1966-07-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,20.0,0.0,0.0,1.0,20.0,0.0,0.0,0,52
5364,112366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1957-05-31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1.0,39.0,0.0,0.0,1.0,39.0,0.0,0.0,0,62
5365,112367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1966-11-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0,52
5366,112369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1969-07-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.0,50.0,0.0,0.0,5.0,50.0,0.0,0.0,0,49
5367,112370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1981-11-28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.0,30.0,0.0,0.0,1.0,30.0,0.0,0.0,0,37
5368,112374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1934-02-15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8.0,213.95,0.0,0.0,8.0,213.95,0.0,0.0,0,85
5369,112375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1961-12-29,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0,86.75999999999999,0.0,0.0,4.0,86.75999999999999,0.0,0.0,0,57
5370,112376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1991-02-25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.0,277.97,1.0,24.79,8.0,253.18,0.0,0.0,0,28
5371,112378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1988-01-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,43.81,0.0,0.0,2.0,43.81,0.0,0.0,0,31
5372,112387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1993-02-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,63.81,0.0,0.0,2.0,63.81,0.0,0.0,0,26
5373,112388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1970-02-05,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.0,218.81,0.0,0.0,7.0,218.81,0.0,0.0,0,49
